Ticket ID,Customer ID,Subject,Description,Priority,Current Status,Assignee,Creation Time,Last Update Time,Resolution Time,History/Comments,Attachments,Tags,Related Tickets,SLA Response Time,SLA Resolution Time,Escalation Information,Closed Reason,Feedback/Rating,Call Summary,Call Sentiment
1001,101,Ski Binding Issue,Binding mechanism is loose.,High,Open,Support A,2023-10-01 9:15:00,2023-10-01 9:15:00,,Customer reported a problem with ski bindings on their recent order of 100 units,,Technical Issue,,2 hours,24 hours,,,,,
1002,102,Goggle Lens Scratches,Goggle lens is easily scratched.,Medium,In Progress,Support B,2023-10-02 11:30:00,2023-10-03 14:45:00,,Customer experiencing issues with lens durability for most recent order.,,Gear Quality,,1 hour,48 hours,,,,,
1003,103,Snowboard Edge Damage,Snowboard edges chipping easily.,Low,Open,Support A,2023-10-03 15:20:00,2023-10-03 15:20:00,,Customer reported snowboard edge manufacturing problem.,,Gear Quality,,4 hours,72 hours,,,,,
1004,104,Ski Binding Malfunction,Ski binding release issue.,Medium,Resolved,Support C,2023-10-04 10:45:00,2023-10-04 14:30:00,2023-10-04 14:30:00,Ski binding issue resolved by support agent.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,4/5,,
1005,105,Snowboard Delamination,Snowboard layers delaminating.,High,In Progress,Support B,2023-10-05 13:55:00,2023-10-05 13:55:00,,Investigating snowboard delamination issue reported by the customer.,,Gear Quality,,1 hour,24 hours,,,,,
1006,106,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support A,2023-10-06 9:10:00,2023-10-06 9:30:00,2023-10-06 9:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1007,107,Snowboard Base Issue,Snowboard base is uneven.,Medium,In Progress,Support C,2023-10-06 11:20:00,2023-10-06 11:20:00,,Investigating snowboard base issue reported by the customer.,,Gear Quality,,1 hour,48 hours,,,,,
1008,108,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support A,2023-10-06 14:05:00,2023-10-06 14:05:00,,Customer complaining about ski surface quality.,,Gear Quality,,2 hours,24 hours,,,,,
1009,109,Snowboard Binding Issue,Snowboard bindings are loose.,High,In Progress,Support B,2023-10-06 16:30:00,2023-10-06 16:30:00,,Investigating snowboard binding issue reported by the customer.,,Technical Issue,,1 hour,24 hours,,,,,
1010,110,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support C,2023-10-06 17:45:00,2023-10-06 18:10:00,2023-10-06 18:10:00,Ski goggles no longer fogging up due to a product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1011,111,Ski Binding Issue,Ski binding release problem.,Medium,In Progress,Support A,2023-10-07 9:15:00,2023-10-07 9:15:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1012,112,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-10-07 11:30:00,2023-10-07 11:30:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1013,113,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support C,2023-10-07 13:45:00,2023-10-07 14:30:00,2023-10-07 14:30:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1014,114,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support A,2023-10-08 10:45:00,2023-10-08 11:30:00,2023-10-08 11:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1015,115,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support B,2023-10-09 13:55:00,2023-10-09 13:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1016,116,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support C,2023-10-09 15:20:00,2023-10-09 15:20:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1017,117,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support A,2023-10-10 9:10:00,2023-10-10 9:10:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1018,118,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support B,2023-10-10 11:20:00,2023-10-10 11:20:00,2023-10-10 11:20:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1019,119,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-10-11 14:05:00,2023-10-11 14:05:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1020,120,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support A,2023-10-11 16:30:00,2023-10-11 16:30:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1021,121,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-10-11 18:45:00,2023-10-11 19:30:00,2023-10-11 19:30:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1022,122,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-10-12 9:45:00,2023-10-12 10:30:00,2023-10-12 10:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1023,123,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-10-12 12:55:00,2023-10-12 12:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1024,124,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-10-13 9:10:00,2023-10-13 9:10:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1025,125,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-10-13 11:20:00,2023-10-13 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1026,126,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-10-14 14:05:00,2023-10-14 14:05:00,2023-10-14 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1027,127,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support B,2023-10-14 16:30:00,2023-10-14 16:30:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1028,128,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support C,2023-10-15 9:45:00,2023-10-15 9:45:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1029,129,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support A,2023-10-15 11:55:00,2023-10-15 12:30:00,2023-10-15 12:30:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1030,130,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support B,2023-10-16 13:45:00,2023-10-16 14:30:00,2023-10-16 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1031,131,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support C,2023-10-16 16:55:00,2023-10-16 16:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1032,132,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support A,2023-10-17 10:15:00,2023-10-17 10:15:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1033,133,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support B,2023-10-17 12:30:00,2023-10-17 12:30:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1034,134,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support C,2023-10-18 14:45:00,2023-10-18 14:45:00,2023-10-18 14:45:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1035,135,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support A,2023-10-18 16:55:00,2023-10-18 16:55:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1036,136,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-10-19 9:10:00,2023-10-19 9:10:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1037,137,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support C,2023-10-19 11:20:00,2023-10-19 12:05:00,2023-10-19 12:05:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1038,138,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support A,2023-10-20 13:35:00,2023-10-20 14:30:00,2023-10-20 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1039,139,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support B,2023-10-20 15:55:00,2023-10-20 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1040,140,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support C,2023-10-21 9:45:00,2023-10-21 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1041,141,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support A,2023-10-21 11:20:00,2023-10-21 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1042,142,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support B,2023-10-22 14:05:00,2023-10-22 14:05:00,2023-10-22 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1043,143,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-10-22 16:45:00,2023-10-22 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1044,144,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support A,2023-10-23 9:55:00,2023-10-23 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1045,145,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-10-23 11:15:00,2023-10-23 11:45:00,2023-10-23 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1046,146,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-10-24 13:35:00,2023-10-24 14:30:00,2023-10-24 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1047,147,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-10-24 15:55:00,2023-10-24 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1048,148,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-10-25 9:45:00,2023-10-25 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
